,Name,Company,Cosmetic_type,Recommendation_skin_type,Pimple_care,Recommendation_for_atopy,Price,Main_ingredient_1,Main_ingredient_2,Main_ingredient_3,Main_ingredient_4,Main_ingredient_5,Grade,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
35,1번 진정 맑게담은 청초토너,넘버즈인,skin tonner, dry,o,x,26000,병풀추출물,어성초추출물,감초추출물,글리세린,부틸렌글라이콜,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
36,캐롯 카로틴 수딩 토너,스킨푸드,skin tonner, normal,o,x,24000,당근추출물,녹차추출물,부틸렌글라이콜,미역추출물,글리세린,4.8,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
37,어성초 케어 토너,다자연,skin tonner,sensitive,o,x,27000,녹차추출물,어성초추출물,글리세린,소듐하이알루로네이트,살비아잎추출물,4.4,http://eco.pe.kr/
38,어린쑥 수분진정 토너,한율,skin tonner,sensitive,x,x,26000,글리세린,판테놀,부틸렌글라이콜,에틸헥실글리세린,사탕수수추출물,4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
39,오운 비건 카밍 토너,휘게,skin tonner, normal,x,x,22000,부틸렌글라이콜,다이프로필렌글라이콜,알란토인,글리세린,자일리톨,4.6,https://www.hyggee.com/
40,녹두 밸런싱 토너,비플레인,skin tonner, normal,x,x,36000,녹두씨추출물,부틸렌글라이콜,다이프로필렌글라이콜,글리세레스-26,자일리틸글루코사이드,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
41,비피다 바이옴 앰플 토너,마녀공장,skin tonner, normal,x,x,30000,락토바실러스발효용해물,부틸렌글라이콜,글리세린,펜틸렌글라이콜,버지니아풍년화수,4.5,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
42,초저분자 히아루론산 토너,이즈앤트리,skin tonner,dry,o,x,21000,히아루론산,글리세린,하이알루로닉애씨드,소듐하이알루로네이트,포타슘하이알루로네이트,4.6,http://www.isntree.com/index.html
43,아미노산 토너,딕셔니스트,skin tonner,normal,x,x,30000,부틸렌글라이콜,나이아신아마이드,락토바실러스,무화과추출물,살리실산,4.6,https://www.itsskin.com/main/html.php?htmid=proc/dictionist_main.html
44,올리고 히알루론산 토너,더랩바이블랑두,skin tonner,dry,o,x,21000,히아루론산,글리세린,소듐하이알루로네이트,부틸렌글라이콜,동백나무잎추출물,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
45,더 심플 카밍 토너,싸이닉,skin tonner,sensitive,o,x,90000,알로에베라잎즙,글리세레스-26,펜틸렌글라이콜,수련꽃추출물,마데카소사이드,4.3,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
46,진정 수분강화 토너,편강율,skin tonner,normal,x,x,14000,글리세린,다이프로필렌글라이콜,판테놀,글루코노락톤,흰버드나무껍질추출물,4.4,https://www.pyunkangyul.com/
47,오리지널 웰빙 녹차스킨,시드물,skin tonner,normal,o,x,4300,알로에베라잎즙,녹차수,글리세린,부틸렌글라이콜,소듐하이알루로네이트,4.2,http://www.sidmool.com/
48,순정 약산성 5.5 진정 토너,에뛰드,skin tonner,sensitive,o,x,27000,녹차추출물,글리세린,베타인,디판테놀,에틸헥실글리세린,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
49,원더 세라마이드 모찌 토너,토니모리,skin tonner,dry,o,x,15000,병풀추출물,글리세린,마카다미아씨오일,페닐트라이메티콘,다이프로필렌글라이콜,4.3,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
50,티트리 시카 수딩 토너,브링그린,skin tonner,sensitive,o,x,13000,티트리추출물,병풀추출물,티트리잎오일,부틸렌글라이콜,펜일렌글라이콜,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
51,병풀 추출물 토너,원씽,skin tonner,sensitive,o,x,12000,병풀추출물,부틸렌글라이콜,헥산다이올,,,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
52,더마틱 클리어 토너,나인위시스,skin tonner,normal,x,x,28000,서양배꽃추출물,글리세린,변성알코올,부틸렌글라이콜,구아바잎추출물,4.4,https://9wishes.co.kr/index.html
53,시카테롤 토너,비플레인,skin tonner,sensitive,o,x,31000,병풀추출물,헥산다이올,베타-시토스테롤,,,4.7,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
54,소프트 글로우 결 토너,인스테드,skin tonner,normal,o,x,23000,녹차추출물,부틸렌글라이콜,글리세린,나이아신아마이드,펜틸렌글라이콜,4.6,https://instead.cool/
55,티트리바이옴 시카 토너,메디힐,skin tonner,sensitive,o,x,20000,알로에베라잎수,티트리잎수,녹차추출물,감초추출물,병풀추출물,4.4,https://www.medihealshop.com/?__gd5_skin_preview=NzAyNjYxXnxeMTgzLjEwMi4xMTQuNjVefF5mcm9udF58XnJ1ZGl4MjMwMTE3XnxeMTY3OTU1MTU3NA==
56,칼렌듈라 허벌 엑스트렉트 토너,키엘,skin tonner,sensitive,x,x,63000,프로필렌글라이콜,우엉추출물,카렌둘라꽃추출물,알란토인,글리세린,4.1,https://www.kiehls.co.kr/
57,모공비움 필링 토너,리얼베리어,skin tonner,normal,x,x,22000,펜틸렌글라이콜,글리세린,글루코노락톤,알란토인,아데노신,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
58,슈가루로닉 수딩 앰플 인토너,아쿠아봉봉,skin tonner,normal,x,x,30000,글리세린,자일리톨,에리스리톨,디판테놀,트레할로오스,4.5,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EC%95%84%EC%BF%A0%EC%95%84%EB%B4%89%EB%B4%89+%EC%8A%88%EA%B0%80%EB%A3%A8%EB%A1%9C%EB%8B%89+%ED%86%A0%EB%84%88
59,참마 보습 토너,디옴,skin tonner,normal,o,x,27000,병풀추출물,글리세린,매도우폼씨오일,부틸렌글라이콜,캐모마일꽃추출물,4.6,https://www.azipmall.com/shop/shopbrand.html?xcode=005&mcode=001&scode=003&type=X
60,어썸트리 릴리프 포션 토너,데이루나,skin tonner,normal,o,x,17200,병풀추출물,티트리추출물,히아루론산,베타인,알란토인,4.5,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EB%8D%B0%EC%9D%B4%EB%A3%A8%EB%82%98
61,타임리스 에센스 스킨,코스톡,skin tonner,normal,x,x,33000,부틸렌글라이콜,글리세린,다이프로필렌글라이콜,나이아신아마이드,사탕수수추출물,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
62,로즈 럭스 토너,이솔,skin tonner,normal,x,x,12900,글리세린,부틸렌글라이콜,사탕수수추출물,소듐하이알루로네이트,펜틸렌글라이콜,4.6,https://www.2sol.co.kr/main/index.php
63,병풀추출물 비건토너,채비공간,skin tonner,sensitive,o,x,22800,병풀추출물,,,,,4.4,https://smartstore.naver.com/chaebgonggan
64,MLE 로션,아토팜,lotion,sensitive,x,o,50000,카프릴릭,글리세린,부틸렌글라이콜,펜틸렌글라이콜,호호바씨오일,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
65,1025 독도 로션,라운드랩,lotion,normal,o,x,40000,히아루론산,글리세린,마카다미아씨오일,펜틸렌글라이콜,아이리쉬모스추출물,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
66,DMT 페이셜 로션,피지오겔,lotion,normal,x,x,26500,카프릴릭,글리세린,펜틸렌글라이콜,오일팜오일,시어버터,4.1,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
67,수딩 젤 로션,아토팜,lotion,sensitive,x,o,52000,캐모마일꽃추출물,피토스테롤,글리세린,카프릴릭,해수,4.7,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
68,세라엠디 리페어 로션,더마비,lotion,normal,x,o,20000,부틸렌글라이콜,글리세린,카프릴릭,하이드로제네이티드식물성오일,메도우폼씨오일,4.5,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
69,밸런스풀 시카 로션,토리든,lotion,sensitive,o,x,24000,병풀추출물,캐모마일꽃추출물,글리세린,마데카소사이드,아시아티코사이드,4.6,https://www.torriden.com/main/index.php
70,울트라 페이셜 모이스처라이징 로션,시드물,lotion,oily,o,x,9900,병풀추출물,녹차추출물,글리세린,소듐하이알루로네이트,베타-글루칸,4.1,http://www.sidmool.com/
71,더 촉촉 그린티 수분로션,토니모리,lotion,normal,o,x,15500,녹차추출물,글리세린,다이카프릴릴카보네이트,사이클로메티콘,레몬씨오일,3.8,https://tonystreet.com/
72,블랑쉬 로션,에스네이처,lotion,normal,o,x,20000,병풀추출물,알란토인,부틸렌글라이콜,해바라기씨오일,글리세린,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
